,Institution,Found Year,Total Students,Total International Students,Undergraduate Students,Undergraduate International Students,Graduate Students,Graduate International Students
0,Xi'an Aeronautical University,1955,,,,,,
0,Weinan Normal University,1923,,,,,,
0,Eastern Liaoning University,1948,,,,,,
0,Mudanjiang Normal University,1958,,,,,,
0,Anyang Institute of Technology,1983,,,,,,
0,Tangshan Normal University,1956,,,,,,
0,Huainan Normal University,1958,,,,,,
0,Harbin University,1999,,,,,,
0,Qiushi College of Guizhou Normal University Institute,,,,,,,
0,Zhaoqing University,1970,,,,,,
0,Suzhou University,1949,,,,,,
0,Yuxi Normal University,1978,,,,,,
0,Shandong Women's University,1952,,,,,,
0,Jiaying University,1913,,,,,,
0,Xianyang Normal University,1978,,,,,,
0,Shijiazhuang University,1958,,,,,,
0,Sichuan Tourism University,1985,,,,,,
0,Long Dong University,1978,,,,,,
0,Xuchang University,1942,,,,,,
0,Huzhou University Qiuzhen College,1999,,,,,,
0,Anshan Normal University Liaoning China,1958,,,,,,
0,Jilin Institute of Chemical Technology,1958,,,,,,
0,Tianjin Sino-German University of Applied Sciences,1985,,,,,,
0,Changzhi University,1958,,,,,,
0,Liaoning Institute of Science and Technology,1948,,,,,,
0,Shandong Agriculture and Engineering University,1971,,,,,,
0,Luoyang Institute of Science and Technology,1956,,,,,,
0,Pingxiang University,1941,,,,,,
0,Kaili University,1958,,,,,,
0,Shaoguan University,1958,,,,,,
0,Wenzhou University Oujiang College,2000,,,,,,
0,Hunan Institute of Technology,1975,,,,,,
0,Wenzheng College of Soochow University,1998,,,,,,
0,Ningde Normal University,1958,,,,,,
0,Qiannan Normal College for Nationalities,1958,,,,,,
0,Huangshan University,1978,,,,,,
0,North China Electric Power University Science and Technology College,,,,,,,
0,Yili Normal University,1948,,,,,,
0,Jining University,1951,,,,,,
0,Kunming University,1978,,,,,,
0,Bengbu University,1976,,,,,,
0,Chifeng University,2003,,,,,,
0,Lanzhou City University,1958,,,,,,
0,Chaohu University,1977,,,,,,
0,Chizhou University,1977,,,,,,
0,Shangluo University,1976,,,,,,
0,Taiyuan Institute of Technology,1954,,,,,,
0,Honghe University,1978,,,,,,
0,Jingdezhen University,1977,,,,,,
0,Guangzhou Maritime University,1964,,,,,,
0,Kashi University,1962,,,,,,
0,Sichuan University of Arts and Science,1976,,,,,,
0,Jilin Agricultural Science and Technology University,1907,,,,,,
0,Zhengzhou Normal University,1949,,,,,,
0,Heze University,1949,,,,,,
